year,tmID,confID,rank,playoff,o_fga,o_fta,o_3pa,o_oreb,o_dreb,d_fgm,d_fga,d_ftm,d_fta,d_3pa,d_oreb,d_dreb,d_asts,GP_x,homeW,homeL,awayW,awayL,confW,confL,stint_x,GP_y,minutes,points,PF,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ,height,weight,stint_y,won_y,lost_y,post_wins,post_losses,TPI_Sum,winrate,roundsPlayed,o_blk,d_3pm,award_player,award_coach,playersAge,PlayOffNextYear
3,SAC,1,0.9412594771402256,0.0,0.6600725190522362,0.0586939737226564,-0.5434121483388471,0.6248174060121472,0.619728238505919,0.7449725776965265,0.7529047250193649,0.7420749279538904,0.7306866952789699,-0.0912890096227254,0.7910112359550563,0.7650793650793651,0.7207602339181286,0.0,-0.0446793201553145,-0.1881198533255998,-0.9473204083899236,0.6828151070519131,-0.7433123951568251,0.7081624525808345,0.0,0.0303030303030303,-1.2693396501678909,0.0,-1.292776522061992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.963606975499203,-0.4372464806113528,0.0,-0.2645137149633305,0.4866618557845354,0.0,0.0,-0.8281748007119809,-0.3783182874613749,0.0,0.0,0.0,0.0,0.0,2.603312092608752,1.0
4,SAC,1,-0.5383298727863742,1.0,0.7150502815645561,-0.1792338454774367,0.0950226573951548,0.7244560621203966,0.6866741901963731,0.7458866544789763,0.7711076684740512,0.6268011527377522,0.6405579399141631,0.0684852839208409,0.7752808988764046,0.7947089947089948,0.7543859649122806,1.0,0.643628034291684,-0.5346268193828341,0.1972787848899884,-0.0715916628588814,0.7308951369089977,0.1181183005618675,0.0,0.7575757575757576,-0.7970875861421088,0.067524115755627,-0.3882621551338311,0.2,0.4545454545454546,0.0,0.1003460207612456,0.0538461538461538,0.0,0.0769230769230769,0.05,0.0,0.0,0.2222222222222222,0.1428571428571428,0.2413793103448275,0.048076923076923,0.0697674418604651,0.0384615384615384,0.0238095238095238,0.0,0.0,0.0,0.9524849391363563,-0.7819021527827437,0.5,-1.4587264851455215,-0.8371157763082789,0.0,0.0,0.8423049917441737,0.4229900349662094,0.6666666666666666,0.0,0.0,0.0,0.0,1.5987761967604452,1.0
5,SAC,1,-0.045133422810841,1.0,0.7031723699106598,-0.3731009574182534,-0.7889639966980786,0.8074882755439377,0.6072954189062632,0.7340036563071298,0.7250193648334625,0.6829971181556196,0.677038626609442,-0.0342267619285945,0.6966292134831461,0.7153439153439154,0.75,1.0,-0.0446793201553145,0.1583871127316343,0.5788118493166258,-0.4487950478142787,0.4360536304958331,-0.1769037754476159,0.0,0.8787878787878789,-0.6274161858933249,0.1237942122186495,-0.0089496786800863,0.0,0.1818181818181818,0.0,0.0380622837370242,0.0153846153846153,0.0,0.0512820512820512,0.0333333333333333,0.0285714285714285,0.0,0.0,0.0357142857142857,0.0344827586206896,0.0192307692307692,0.0232558139534883,0.0,0.0,0.0,0.0,0.0,0.7189221755162839,-0.5004333538427734,0.0,0.4178935822836359,0.1084396751865885,0.4285714285714285,0.6000000000000001,0.8016199538190237,0.2287334719534619,0.6666666666666666,0.0,0.0,0.0,0.0,1.4865673998836813,1.0
6,SAC,1,-1.5247227727374408,1.0,0.6604118879566332,0.3583067830857367,-0.8298893047579505,0.7369108941339277,0.6302483166287046,0.6864716636197441,0.7060418280402789,0.6887608069164265,0.7006437768240343,-0.9700476241123408,0.6134831460674158,0.7343915343915345,0.6769005847953216,1.0,1.676089065962182,-1.5741477175545366,1.3418779781699004,-1.2032018177250732,1.910261162561656,-1.6520141554950332,0.0,1.0,0.7610614394758902,0.4260450160771704,0.428718563381927,0.0,0.7272727272727273,0.8,0.6712802768166091,0.4230769230769231,0.5416666666666666,0.7948717948717948,0.7333333333333333,0.2857142857142857,0.4166666666666666,0.4444444444444444,0.3214285714285714,0.9310344827586208,0.5384615384615385,0.5813953488372093,0.2115384615384615,0.119047619047619,0.0,0.0,0.0,0.7189221755162839,-0.8850491039470852,0.0,1.612106352465827,-1.215337956906226,1.0,0.2,1.088808456820082,1.588529413042696,0.6666666666666666,0.0,0.0,0.1666666666666666,1.0,-0.3648777485815232,1.0
7,SAC,1,-1.0315263227619076,1.0,0.6108640279146659,-0.4876587962923723,-0.7152984421903091,0.687091566079803,0.6092081603831333,0.7970749542961608,0.7827265685515105,0.7262247838616714,0.7092274678111588,0.524983265473888,0.6606741573033709,0.7671957671957672,0.7412280701754386,1.0,1.331935388738683,-1.2276407514973025,0.1972787848899884,-0.0715916628588814,-0.153629382330496,-0.1769037754476159,0.0,1.0,0.407579355624257,0.3729903536977492,0.5454300945984638,0.0,0.8181818181818182,0.0,0.5328719723183392,0.4153846153846154,0.375,0.5897435897435898,0.5333333333333333,0.1428571428571428,0.25,0.6666666666666666,0.3214285714285714,0.5517241379310345,0.5192307692307693,0.4186046511627906,0.5384615384615385,0.4285714285714285,0.03125,0.0,0.0,1.4040396154684869,-0.2658177462791494,0.0,0.9296990552188606,-0.4588935957103319,0.8571428571428571,0.6000000000000001,0.2320294228669252,0.8115031609917049,1.0,0.0,0.0,0.3333333333333333,0.0,0.005411281111555,1.0
8,SAC,1,-0.5383298727863742,1.0,0.6936700405875428,0.2525610856634731,-0.5270420251148983,0.8905204889674788,0.6675467754276719,0.8144424131627057,0.8059643687064292,0.7377521613832853,0.7124463519313304,0.981481247026935,0.6921348314606742,0.7597883597883598,0.7923976608187134,1.0,0.643628034291684,-0.5346268193828341,0.1972787848899884,-0.0715916628588814,0.4360536304958331,-0.1769037754476159,0.0,0.8181818181818182,-0.6415554692473903,0.0932475884244373,-0.9134640456082472,0.0,0.1818181818181818,0.0,0.0242214532871972,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0357142857142857,0.0,0.0192307692307692,0.0,0.0,0.0,0.0,0.0,0.0,1.5753189754565255,-0.2119715412645429,0.0,0.5884954065953775,-0.0806714151123849,0.1428571428571428,0.4,0.8159793789690767,0.4229900349662094,0.3333333333333333,0.0,0.0,0.0,0.0,0.5951308469190155,1.0
9,SAC,1,-0.045133422810841,1.0,0.677380333176485,0.7989138556785018,-0.43700634738318,0.7846544168524638,0.668503146166107,0.8756855575868373,0.8241673121611155,0.6757925072046109,0.6673819742489271,0.924418999332804,0.6921348314606742,0.8116402116402117,0.8494152046783625,1.0,0.9877817115151832,-0.8811337854400683,-0.5657873439632862,0.6828151070519131,-0.4484708887436606,0.1181183005618675,0.0,0.1515151515151515,-1.142086099981303,0.0257234726688102,-1.2052428736495893,0.0,0.1818181818181818,0.0,0.0103806228373702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0344827586206896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7847988524347547,-0.5285398894273232,0.0,0.4178935822836359,0.1084396751865885,0.1428571428571428,0.4,0.1721984847417048,0.2287334719534619,0.3333333333333333,0.0,0.0,0.0,0.0,-0.5705938761887681,0.0
10,SAC,1,0.9412594771402256,0.0,0.6790771776984702,0.0939425395300776,-0.797149058310053,0.7721995848389327,0.6971942683191588,0.9085923217550276,0.8601859024012394,0.6902017291066282,0.628755364806867,1.6319908707400268,0.7325842696629215,0.7428571428571429,0.9166666666666666,1.0,-1.0771403518258125,1.1979080109033369,-0.5657873439632862,0.6828151070519131,-1.3329954079831543,1.003184528590318,0.0,0.0909090909090909,-1.2552003668138254,0.0032154340836012,-1.3219544048661265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9165522062717204,1.0158402763761298,0.5,-2.141133782392488,-1.0262268666072525,0.0,0.0,0.0740757462163432,-0.9368059061230244,0.0,0.0,0.0,0.0,0.0,0.0623788241411731,
1,SAS,1,0.4480630271646922,0.0,0.6434434427367813,1.2659573526268328,-1.6320253427314402,0.722380256784808,0.7000633805344639,0.7861060329067642,0.7606506584043378,0.7651296829971181,0.7736051502145923,-0.1483512573168563,0.703370786516854,0.6328042328042328,0.7353801169590642,0.0,0.643628034291684,-0.8811337854400683,-0.1842542795366489,-0.0715916628588814,0.7308951369089977,-0.7669479274665828,0.0,0.4242424242424243,0.3001208021333605,0.2315112540192926,-0.0964833270924889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7847988524347547,-0.7770608356485654,0.0,0.4178935822836359,-0.2697825054113584,0.0,0.0,-0.2442248446098294,0.4472721053428029,0.0,0.0,0.0,0.0,0.0,-0.6971884162547938,1.0
2,SAS,1,-0.5383298727863742,1.0,0.6274931042301206,0.2525610856634731,-1.779356451746979,0.6123625739986159,0.7411873222871715,0.7212065813528337,0.7652982184353215,0.7046109510086455,0.7081545064377682,-0.3651877985545536,0.7730337078651686,0.6666666666666667,0.6988304093567251,0.0,-0.3888329973788138,0.1583871127316343,1.3418779781699004,-1.5804052026804705,0.1412121240826685,-0.1769037754476159,0.0,0.9393939393939394,2.126916211478601,0.4437299035369775,1.245699281897685,0.2,0.1818181818181818,0.2,0.2595155709342561,0.0692307692307692,0.0,0.0769230769230769,0.05,0.2857142857142857,0.0833333333333333,0.1111111111111111,0.1785714285714285,0.2413793103448275,0.1153846153846153,0.0697674418604651,0.0192307692307692,0.0238095238095238,0.21875,0.2,0.0,-0.7603086607441271,-1.0126716028453282,1.0,-0.2645137149633305,-1.9717823181021197,0.0,0.4,-0.3591002458102527,0.6536697035438473,0.3333333333333333,0.0,0.0,0.0,0.0,-0.0469528240975141,1.0
3,SAS,1,-0.5383298727863742,1.0,0.6485339763027369,1.7418129910270193,-1.754801266911056,0.7203044514492195,0.6895433024116783,0.7778793418647166,0.8005422153369481,0.7435158501440922,0.7381974248927039,-0.9586351745735148,0.8112359550561798,0.6825396825396826,0.7149122807017544,0.0,0.643628034291684,-0.8811337854400683,0.5788118493166258,-0.8259984327696759,0.4360536304958331,-0.4719258514570993,0.0,0.8181818181818182,-0.8819232862665008,0.0691318327974276,-1.2052428736495893,0.0,0.1818181818181818,0.0,0.0138408304498269,0.0,0.0,0.0,0.0,0.0571428571428571,0.0,0.0,0.0,0.0344827586206896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9938714243641996,-0.269663903780189,0.0,0.7590972309071191,-0.6480046860093054,0.2857142857142857,0.6000000000000001,0.0764689837413521,0.8600673017448918,0.3333333333333333,0.0,0.0,0.0,0.0,-0.0220175359027192,0.0
4,SAS,1,0.9412594771402256,0.0,0.7018148942930716,0.7901017142266465,-1.1982170772967975,0.7265318674559851,0.7603147370558727,0.7925045703839122,0.8427575522850504,0.7838616714697406,0.7993562231759657,0.2396720270032336,0.8741573033707866,0.8285714285714286,0.7748538011695906,1.0,-0.3888329973788138,0.5048940787888685,-1.3288534728165609,1.4372218769627074,-0.153629382330496,1.003184528590318,0.0,1.0,1.9317941011924995,0.4180064308681672,1.508300227134893,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6513127043880981,0.1957211538460193,1.0,-1.6293283094572633,-1.7826712278031462,0.0,0.0,-1.63948232168997,-0.9368059061230244,0.0,0.0,0.0,0.0,0.0,0.7459893404975246,0.0
5,SAS,1,1.4344559271157586,0.0,0.6583756745302509,-0.1616095625737261,-1.754801266911056,0.6268932113477357,0.6704158876429771,0.8117001828153565,0.7757552285050349,0.5994236311239193,0.6051502145922747,0.0913101829984933,0.7280898876404495,0.7513227513227514,0.8406432748538011,1.0,-1.4212940290493117,1.544414976960571,-1.3288534728165609,1.4372218769627074,-1.3329954079831543,1.5932286806092848,0.0,0.696969696969697,0.0343022750769324,0.2556270096463022,-0.24237274111316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4742373755333646,-0.5031806092006608,1.0,-1.6293283094572633,0.8648840363824823,0.0,0.0,-0.8592868885370956,-1.5195755951612675,0.0,0.0,0.0,0.0,0.0,-0.5705938761887681,0.0
6,SAS,1,1.4344559271157586,0.0,0.546723304983626,-1.0780722735666777,-1.0017755986094126,0.4130852617821172,0.5470440623848544,0.8208409506398537,0.797443841982959,0.6671469740634005,0.6555793991416309,-0.6048492388699033,0.7887640449438202,0.7449735449735451,0.8230994152046783,1.0,-1.765447706272811,1.8909219430178053,-1.7103865372431983,1.8144252619181047,-2.217519927222648,2.4782949086377353,0.0,1.0,0.6111850359227978,0.3263665594855305,1.7417232895679668,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28020742441399,-0.769664378915793,0.0,-1.4587264851455215,2.1886616684752966,0.0,0.0,-2.950976485394802,-1.9080887211867632,0.0,0.0,0.0,0.0,0.0,0.5951308469190155,0.0
7,SAS,1,0.9412594771402256,0.0,0.6183301438114006,-0.857768737270295,-0.265120053531718,0.5666948566156683,0.6168591262906138,0.8903107861060329,0.8760650658404339,0.7060518731988472,0.6866952789699571,-0.0228143123897684,0.8359550561797754,0.9153439153439156,0.8187134502923976,1.0,-1.4212940290493117,1.544414976960571,0.1972787848899884,-0.0715916628588814,-0.153629382330496,-0.1769037754476159,0.0,0.6666666666666667,-0.1099184151345339,0.2459807073954983,0.7788531570315376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1374746244239579,-1.1196647115107092,0.0,-0.435115539275072,1.0539951266814558,0.0,0.0,-1.3857991440390354,-0.742549343110277,0.0,0.0,0.0,0.0,0.0,0.2522706342402116,1.0
8,SAS,1,-1.0315263227619076,1.0,0.5976286406431814,-1.536303629063153,-0.90355485926572,0.5936803259783192,0.6178154970290488,0.8263254113345521,0.8284275755228505,0.7622478386167146,0.7381974248927039,-0.0798765600838992,0.8112359550561798,0.8211640211640212,0.7543859649122806,1.0,-0.3888329973788138,0.5048940787888685,1.723411042596538,-1.5804052026804705,0.7308951369089977,-0.4719258514570993,0.0,0.3030303030303031,-1.037455403161219,0.045016077170418,-1.030175576824784,0.0,0.1818181818181818,0.0,0.0173010380622837,0.0153846153846153,0.0416666666666666,0.0,0.0166666666666666,0.0,0.0,0.0,0.0,0.1034482758620689,0.0096153846153846,0.0,0.0384615384615384,0.0476190476190476,0.0,0.0,0.0,-0.1374746244239579,0.3572597688898324,0.0,0.7590972309071191,-0.2697825054113584,0.2857142857142857,0.6000000000000001,-0.4572229843356142,0.6172465979789574,0.6666666666666666,0.0,0.0,0.0,1.0,0.4991299873688681,1.0
9,SAS,1,-1.5247227727374408,1.0,0.6454796561631636,-0.3114159672552662,0.1032077190071292,0.4421465364803566,0.7354490978565612,0.8263254113345521,0.8795507358636716,0.6786743515850143,0.6802575107296137,0.2510844765420598,0.8741573033707866,0.8645502645502646,0.7309941520467835,1.0,1.676089065962182,-1.5741477175545366,0.9603449137432633,-0.8259984327696759,-0.153629382330496,-0.1769037754476159,0.0,0.9696969696969696,-0.2965569554081962,0.1141479099678456,-0.7383967487834419,0.0,0.7272727272727273,0.0,0.1522491349480969,0.0769230769230769,0.0,0.1794871794871795,0.1166666666666666,0.1142857142857142,0.0833333333333333,0.1111111111111111,0.0357142857142857,0.1379310344827586,0.0769230769230769,0.0930232558139534,0.0384615384615384,0.0,0.125,0.2,0.0,-1.8502682243044413,-1.138545848334014,0.0,1.4415045281540857,-1.0262268666072525,0.5714285714285714,1.0,0.0429636583912286,1.3942728500299484,1.0,0.0,0.0,0.0,0.0,0.8507175509158502,1.0
10,SAS,1,-0.045133422810841,1.0,0.6777197020808821,-0.6110287766183465,1.723849918178057,0.5231029445683093,0.6598958095201914,0.9140767824497258,0.8826491092176608,0.7031700288184437,0.6652360515021459,0.4336836691632785,0.8179775280898877,0.871957671957672,0.7733918128654971,1.0,-0.0446793201553145,0.1583871127316343,-0.5657873439632862,0.6828151070519131,-0.153629382330496,-0.1769037754476159,0.0,1.0,0.5348329058108451,0.1672025723472668,0.9539204538563428,0.0,0.2727272727272727,0.0,0.1176470588235294,0.0307692307692307,0.0416666666666666,0.0769230769230769,0.0666666666666666,0.0857142857142857,0.0833333333333333,0.0,0.0357142857142857,0.1379310344827586,0.048076923076923,0.0232558139534883,0.0769230769230769,0.0476190476190476,0.0,0.0,0.0,-2.230889024277893,-0.3273562662958351,0.0,-0.0939118906515889,0.6757729460835089,0.1428571428571428,0.4,-0.3471340581852086,-0.3540362170847815,0.3333333333333333,0.0,0.0,0.0,0.0,2.2637172152887457,
11,SAS,1,0.3071497557431114,1.0,0.7295083753816787,0.1293255803512153,0.6667975615664887,0.5574068685508191,0.6756115633572052,0.8402977278662838,0.8403784441739515,0.7000823384108685,0.6900674432863274,0.0440300349090696,0.8186195826645265,0.8282690854119426,0.7880116959064327,1.0,-0.5363274304745993,0.653397064241969,-0.2932637265156881,0.4133841177980581,-0.4905911039455411,0.5817244200053415,0.0,0.7683160721135404,0.2705535918790367,0.3048964141804713,0.1181033806189285,0.0759493670886076,0.1565017261219793,0.0974683544303797,0.1337654942840874,0.1176241480038948,0.070675105485232,0.1041869522882181,0.0959915611814345,0.098010849909584,0.1149789029535865,0.0815752461322081,0.0917721518987341,0.1086861632474901,0.1200097370983446,0.1283485428319105,0.0727848101265822,0.0711271850512356,0.0941455696202531,0.1265822784810127,0.0759493670886072,-1.1651507843522382,0.7726447790024804,0.0,0.0956456919170128,0.339575452218667,0.1904761904761904,0.3777777777777777,-0.1483487295605765,-0.4927909049510298,0.2666666666666666,0.0,0.0,0.0,0.0,0.3345570852830347,
