year,tmID,franchID,confID,rank,playoff,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena
5,MIN,MIN,WE,3.0,Y,L,N,N,Minnesota Lynx,767.0,1900.0,454.0,640.0,177.0,542.0,332.0,724.0,1056.0,526.0,660.0,257.0,613.0,139.0,2165.0,804.0,1972.0,490.0,669.0,92.0,330.0,323.0,713.0,1036.0,508.0,676.0,333.0,502.0,133.0,2190.0,18.0,16.0,34.0,11.0,6.0,7.0,10.0,12.0,10.0,6850.0,125097.0,Target Center
6,MIN,MIN,WE,6.0,N,N,N,N,Minnesota Lynx,801.0,1946.0,437.0,601.0,172.0,492.0,310.0,715.0,1025.0,531.0,624.0,258.0,536.0,127.0,2211.0,862.0,2019.0,435.0,592.0,129.0,376.0,344.0,711.0,1055.0,537.0,665.0,275.0,487.0,144.0,2288.0,14.0,20.0,34.0,11.0,6.0,3.0,14.0,9.0,13.0,6850.0,113447.0,Target Center
7,MIN,MIN,WE,7.0,N,N,N,N,Minnesota Lynx,945.0,2211.0,485.0,681.0,148.0,419.0,340.0,804.0,1144.0,491.0,654.0,193.0,530.0,113.0,2523.0,1004.0,2314.0,548.0,719.0,179.0,542.0,372.0,832.0,1204.0,625.0,633.0,308.0,438.0,124.0,2735.0,10.0,24.0,34.0,8.0,9.0,2.0,15.0,6.0,14.0,6825.0,109522.0,Target Center
8,MIN,MIN,WE,6.0,N,N,N,N,Minnesota Lynx,971.0,2355.0,531.0,674.0,163.0,496.0,397.0,785.0,1182.0,596.0,713.0,238.0,561.0,95.0,2636.0,988.0,2195.0,614.0,785.0,162.0,461.0,318.0,800.0,1118.0,565.0,645.0,279.0,529.0,147.0,2752.0,10.0,24.0,34.0,7.0,10.0,3.0,14.0,8.0,14.0,6875.0,121019.0,Target Center
9,MIN,MIN,WE,7.0,N,N,N,N,Minnesota Lynx,991.0,2303.0,652.0,864.0,133.0,413.0,353.0,792.0,1145.0,557.0,751.0,309.0,472.0,131.0,2767.0,974.0,2220.0,612.0,809.0,161.0,486.0,350.0,862.0,1212.0,587.0,748.0,248.0,579.0,140.0,2721.0,16.0,18.0,34.0,9.0,8.0,7.0,10.0,8.0,12.0,6900.0,118463.0,Target Center
10,MIN,MIN,WE,5.0,N,N,N,N,Minnesota Lynx,949.0,2257.0,591.0,766.0,242.0,695.0,325.0,762.0,1087.0,509.0,693.0,301.0,513.0,128.0,2731.0,1041.0,2260.0,550.0,711.0,195.0,510.0,317.0,848.0,1165.0,589.0,694.0,250.0,543.0,140.0,2827.0,14.0,20.0,34.0,9.0,8.0,5.0,12.0,7.0,13.0,6875.0,128127.0,Target Center
1,PHO,PHO,WE,4.0,Y,L,N,N,Phoenix Mercury,803.0,1800.0,513.0,661.0,124.0,394.0,275.0,619.0,894.0,465.0,630.0,285.0,429.0,91.0,2243.0,773.0,1828.0,421.0,574.0,135.0,416.0,334.0,635.0,969.0,486.0,699.0,224.0,531.0,91.0,2102.0,20.0,12.0,32.0,11.0,5.0,9.0,7.0,11.0,10.0,6425.0,161075.0,US Airways Center
2,PHO,PHO,WE,5.0,N,N,N,N,Phoenix Mercury,767.0,1894.0,429.0,587.0,101.0,313.0,300.0,642.0,942.0,514.0,625.0,292.0,519.0,138.0,2064.0,785.0,1892.0,462.0,584.0,137.0,391.0,333.0,698.0,1031.0,524.0,603.0,283.0,517.0,127.0,2169.0,13.0,19.0,32.0,10.0,6.0,3.0,13.0,8.0,13.0,6450.0,136979.0,US Airways Center
3,PHO,PHO,WE,7.0,N,N,N,N,Phoenix Mercury,793.0,1889.0,405.0,538.0,100.0,328.0,292.0,626.0,918.0,427.0,623.0,267.0,501.0,94.0,2091.0,850.0,1870.0,436.0,608.0,155.0,388.0,309.0,692.0,1001.0,532.0,600.0,268.0,491.0,127.0,2291.0,11.0,21.0,32.0,10.0,6.0,1.0,15.0,7.0,14.0,6400.0,139798.0,US Airways Center
4,PHO,PHO,WE,7.0,N,N,N,N,Phoenix Mercury,801.0,2095.0,379.0,556.0,116.0,349.0,357.0,643.0,1000.0,461.0,664.0,310.0,479.0,111.0,2097.0,834.0,1867.0,466.0,626.0,136.0,371.0,303.0,811.0,1114.0,509.0,667.0,275.0,610.0,146.0,2270.0,8.0,26.0,34.0,6.0,11.0,2.0,15.0,5.0,19.0,6925.0,144511.0,US Airways Center
5,PHO,PHO,WE,5.0,N,N,N,N,Phoenix Mercury,826.0,1922.0,456.0,598.0,192.0,519.0,264.0,652.0,916.0,501.0,748.0,282.0,464.0,137.0,2300.0,784.0,1845.0,534.0,724.0,133.0,348.0,309.0,711.0,1020.0,456.0,660.0,226.0,536.0,137.0,2235.0,17.0,17.0,34.0,10.0,7.0,7.0,10.0,11.0,11.0,6825.0,136295.0,US Airways Center
6,PHO,PHO,WE,5.0,N,N,N,N,Phoenix Mercury,826.0,1994.0,531.0,693.0,178.0,539.0,342.0,720.0,1062.0,549.0,697.0,243.0,517.0,179.0,2361.0,855.0,1993.0,523.0,720.0,121.0,332.0,319.0,705.0,1024.0,470.0,672.0,265.0,483.0,112.0,2354.0,16.0,18.0,34.0,11.0,6.0,5.0,12.0,12.0,10.0,6800.0,124146.0,US Airways Center
7,PHO,PHO,WE,5.0,N,N,N,N,Phoenix Mercury,1079.0,2434.0,537.0,684.0,265.0,722.0,334.0,811.0,1145.0,640.0,741.0,275.0,442.0,127.0,2960.0,1023.0,2360.0,630.0,852.0,203.0,618.0,408.0,875.0,1283.0,578.0,669.0,231.0,537.0,126.0,2879.0,18.0,16.0,34.0,10.0,7.0,8.0,9.0,8.0,12.0,6900.0,126801.0,US Airways Center
